,Opening,Title,Studio,Medium
395,DECEMBER,The Last Boy Scout,Warner Bros. Pictures (thru Geffen Pictures label) / Silver Pictures,Live action
396,DECEMBER,Bugsy,TriStar Pictures / Mulholland Productions / Baltimore Pictures,Live action
397,DECEMBER,Father of the Bride,Touchstone Pictures,Live action
398,DECEMBER,JFK,Warner Bros. Pictures,Live action
399,DECEMBER,Rush,Metro-Goldwyn-Mayer / The Zanuck Company,Live action
400,DECEMBER,Grand Canyon,20th Century Fox,Live action
401,DECEMBER,The Prince of Tides,Columbia Pictures,Live action
402,DECEMBER,Until the End of the World,Warner Bros. Pictures,Live action
403,DECEMBER,Fried Green Tomatoes,Universal Pictures,Live action
404,DECEMBER,Hear My Song,Miramax Films,Live action
405,DECEMBER,Naked Lunch,20th Century Fox,Live action
406,JANUARY,Kuffs,Universal Pictures,Live action
407,JANUARY,The Hand That Rocks the Cradle,Hollywood Pictures,Live action
408,JANUARY,Freejack,Warner Bros. Pictures / Morgan Creek Productions,Live action
409,JANUARY,A Gnome Named Gnorm,PolyGram Filmed Entertainment / Interscope Communications,Live action
410,JANUARY,Juice,Paramount Pictures,Live action
